TABLE_NAME,TABLE_NUMBER,COMMODITY_DESCRIPTION,CLASS_DESCRIPTION,YEAR,REFERENCE_PERIOD_DESCRIPTION,LOCATION_DESCRIPTION,STATISTIC_DESCRIPTION,VALUE,UNIT_DESCRIPTION
"Thailand milled rice prices, f.o.b. Bangkok, 1985/86 to present",25,RICE,FRAGRANT WHITE RICE,1985,August,THAILAND,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Thailand milled rice prices, f.o.b. Bangkok, 1985/86 to present",25,RICE,100-PERCENT GRADE B,1985,August,THAILAND,FREIGHT ON BOARD PRICE,193.38,DOLLARS PER METRIC TON
"Thailand milled rice prices, f.o.b. Bangkok, 1985/86 to present",25,RICE,5-PERCENT PARBOILED,1985,August,THAILAND,FREIGHT ON BOARD PRICE,178.5,DOLLARS PER METRIC TON
"Thailand milled rice prices, f.o.b. Bangkok, 1985/86 to present",25,RICE,5-PERCENT BROKEN,1985,August,THAILAND,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Thailand milled rice prices, f.o.b. Bangkok, 1985/86 to present",25,RICE,15-PERCENT BROKEN,1985,August,THAILAND,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Thailand milled rice prices, f.o.b. Bangkok, 1985/86 to present",25,RICE,25-PERCENT BROKEN,1985,August,THAILAND,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Thailand milled rice prices, f.o.b. Bangkok, 1985/86 to present",25,RICE,35-PERCENT BROKEN,1985,August,THAILAND,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Thailand milled rice prices, f.o.b. Bangkok, 1985/86 to present",25,RICE,A.1 SUPER,1985,August,THAILAND,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Thailand milled rice prices, f.o.b. Bangkok, 1985/86 to present",25,RICE,A.1 SPECIAL,1985,August,THAILAND,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Thailand milled rice prices, f.o.b. Bangkok, 1985/86 to present",25,RICE,FRAGRANT WHITE RICE,1985,September,THAILAND,FREIGHT ON BOARD PRICE,NA,DOLLARS PER METRIC TON
"Thailand milled rice prices, f.o.b. Bangkok, 1985/86 to present",25,RICE,100-PERCENT GRADE B,1985,September,THAILAND,FREIGHT ON BOARD PRICE,196.62,DOLLARS PER METRIC TON
"Thailand milled rice prices, f.o.b. Bangkok, 1985/86 to present",25,RICE,5-PERCENT PARBOILED,1985,September,THAILAND,FREIGHT ON BOARD PRICE,181.38,DOLLARS PER METRIC TON
